accession_code,accession,lga,pot_id,pot,reading,plant_id,week,trait,trait_label,value,pvfta1
2,Danhassan2,Kura,2a,a,1,2a-r1,5,SD,Stem diameter,0.51,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,6,LB,Leaf breadth (cm),4.3,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,6,LL,Leaf length (cm),6.4,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,6,NB,Number of branches,NA,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,6,NL,Number of leaves,32,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,6,PH,Plant height (cm),30,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,6,SD,Stem diameter,0.52,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,2,LB,Leaf breadth (cm),6,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,2,LL,Leaf length (cm),9.5,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,2,NB,Number of branches,0,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,2,NL,Number of leaves,24,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,2,PH,Plant height (cm),36,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,2,SD,Stem diameter,NA,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,3,LB,Leaf breadth (cm),6.8,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,3,LL,Leaf length (cm),9.5,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,3,NB,Number of branches,2,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,3,NL,Number of leaves,50,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,3,PH,Plant height (cm),72,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,3,SD,Stem diameter,3.6,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,4,LB,Leaf breadth (cm),6.1,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,4,LL,Leaf length (cm),9.3,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,4,NB,Number of branches,2,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,4,NL,Number of leaves,68,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,4,PH,Plant height (cm),133,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,4,SD,Stem diameter,3.5,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,5,LB,Leaf breadth (cm),6.7,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,5,LL,Leaf length (cm),9.7,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,5,NB,Number of branches,2,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,5,NL,Number of leaves,49,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,5,PH,Plant height (cm),133,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,5,SD,Stem diameter,3.5,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,6,LB,Leaf breadth (cm),7,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,6,LL,Leaf length (cm),10,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,6,NB,Number of branches,2,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,6,NL,Number of leaves,42,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,6,PH,Plant height (cm),133,Amplified
2,Danhassan2,Kura,2a,a,2,2a-r2,6,SD,Stem diameter,3.5,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,2,LB,Leaf breadth (cm),5.3,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,2,LL,Leaf length (cm),12.4,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,2,NB,Number of branches,2,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,2,NL,Number of leaves,22,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,2,PH,Plant height (cm),25.4,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,2,SD,Stem diameter,NA,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,3,LB,Leaf breadth (cm),6,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,3,LL,Leaf length (cm),12.5,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,3,NB,Number of branches,2,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,3,NL,Number of leaves,26,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,3,PH,Plant height (cm),26,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,3,SD,Stem diameter,NA,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,4,LB,Leaf breadth (cm),6.2,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,4,LL,Leaf length (cm),12.5,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,4,NB,Number of branches,2,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,4,NL,Number of leaves,36,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,4,PH,Plant height (cm),62.1,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,4,SD,Stem diameter,0.5,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,5,LB,Leaf breadth (cm),6,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,5,LL,Leaf length (cm),9.8,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,5,NB,Number of branches,3,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,5,NL,Number of leaves,89,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,5,PH,Plant height (cm),26,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,5,SD,Stem diameter,0.65,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,6,LB,Leaf breadth (cm),5.9,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,6,LL,Leaf length (cm),9,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,6,NB,Number of branches,3,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,6,NL,Number of leaves,88,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,6,PH,Plant height (cm),103,Amplified
2,Danhassan2,Kura,2b,b,1,2b-r1,6,SD,Stem diameter,0.65,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,2,LB,Leaf breadth (cm),7,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,2,LL,Leaf length (cm),9.6,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,2,NB,Number of branches,3,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,2,NL,Number of leaves,38,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,2,PH,Plant height (cm),30,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,2,SD,Stem diameter,NA,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,3,LB,Leaf breadth (cm),6.6,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,3,LL,Leaf length (cm),9.5,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,3,NB,Number of branches,4,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,3,NL,Number of leaves,49,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,3,PH,Plant height (cm),120,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,3,SD,Stem diameter,4,Amplified
